日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
2021-02-19,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6211.78,6292.87,6158.23,6287.95,49.06,0.79,71277.11,9785.76,3617
2021-02-22,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6302.24,6321.07,6167.88,6167.88,-120.07,-1.91,94202.12,12233.62,3620
2021-02-23,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6117.16,6206.48,6112.68,6143.0,-24.88,-0.4,76208.04,9608.48,3620
2021-02-24,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6150.35,6166.9,5963.68,6024.21,-118.79,-1.93,71509.69,10010.97,3620
2021-02-25,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6080.65,6087.76,6012.65,6027.06,2.85,0.05,68670.01,8751.38,3620
2021-02-26,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5900.89,5983.05,5889.99,5909.3,-117.76,-1.95,63997.67,8484.45,3621
2021-03-01,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5958.84,6023.28,5939.5,6021.24,111.95,1.89,62402.34,8181.18,3622
2021-03-02,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6052.67,6052.67,5915.41,5960.8,-60.44,-1.0,65869.17,8582.03,3622
2021-03-03,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5942.01,6059.23,5938.01,6058.86,98.05,1.64,66396.38,8013.71,3622
2021-03-04,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6003.3,6010.03,5878.38,5903.13,-155.72,-2.57,74337.34,9046.81,3622
2021-03-05,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5820.06,5939.87,5809.87,5899.12,-4.01,-0.07,69532.06,8210.34,3622
2021-03-08,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5938.89,5967.28,5728.58,5729.23,-169.89,-2.88,74728.29,9146.25,3622
2021-03-09,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5713.37,5729.7,5525.79,5592.91,-136.32,-2.38,78610.89,9242.99,3622
2021-03-10,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5666.53,5671.55,5584.54,5598.14,5.24,0.09,58886.2,7014.76,3622
2021-03-11,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5614.5,5735.38,5600.88,5735.38,137.24,2.45,63331.17,7480.57,3622
2021-03-12,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5757.06,5757.49,5690.7,5753.17,17.79,0.31,69033.5,7636.88,3622
